лс;дата;номер документа;сумма;пени
50146747063;13.12.2022;658;551,06;
50146760064;13.12.2022;658;2987,01;
50146761065;13.12.2022;658;3065,48;
50146754066;13.12.2022;658;2475,91;
50146751067;13.12.2022;658;1043,63;
50146732068;13.12.2022;658;2605,94;
50146725069;13.12.2022;658;3796,20;
50146751070;13.12.2022;658;2952,05;
50146763252;13.12.2022;658;798,07;
50146761072;13.12.2022;658;2987,01;
50146760073;13.12.2022;658;3796,20;
50146747074;13.12.2022;658;2947,05;
50146742075;13.12.2022;658;1908,09;
50146733076;13.12.2022;658;2992,01;
50146742255;13.12.2022;658;979,67;
50146735256;13.12.2022;658;761,81;
50146714079;13.12.2022;658;1898,10;
50146714080;13.12.2022;658;1544,26;
50146709081;13.12.2022;658;779,87;
50146700082;13.12.2022;658;1903,10;
50146714259;13.12.2022;658;491,12;
50146718084;13.12.2022;658;1927,11;
50146721085;13.12.2022;658;3801,20;
50146728086;13.12.2022;658;2952,05;
50146727087;13.12.2022;658;738,61;
50146754088;13.12.2022;658;2982,02;
50146749089;13.12.2022;658;3065,48;
50146728266;13.12.2022;658;1523,64;
50146728091;13.12.2022;658;1542,80;
50146721092;13.12.2022;658;1927,11;
50146718093;13.12.2022;658;3069,50;
50146727270;13.12.2022;658;950,66;
50146700095;13.12.2022;658;1105,02;
50146719201;13.12.2022;658;2982,02;
50146714097;13.12.2022;658;3796,20;
50146735098;13.12.2022;658;2957,04;
50146736099;13.12.2022;658;1046,38;
50146751100;13.12.2022;658;769,55;
50146754101;13.12.2022;658;3806,19;
50146761102;13.12.2022;658;2380,68;
50146760103;13.12.2022;658;492,41;
50146772208;13.12.2022;658;1250,52;
50146742105;13.12.2022;658;3801,20;
50146733106;13.12.2022;658;2942,06;
50146740107;13.12.2022;658;1903,10;
50146711108;13.12.2022;658;1154,33;
50146714109;13.12.2022;658;2455,60;
50146740110;13.12.2022;658;2952,05;
50146733111;13.12.2022;658;1908,09;
50146742112;13.12.2022;658;2987,01;
50146747113;13.12.2022;658;3796,20;
50146760114;13.12.2022;658;2947,05;
50146761115;13.12.2022;658;1908,09;
50146754116;13.12.2022;658;2982,02;
50146751117;13.12.2022;658;3801,20;
50146732118;13.12.2022;658;950,66;
50146725119;13.12.2022;658;1908,09;
50146790219;13.12.2022;658;768,27;
50146790220;13.12.2022;658;965,16;
50146723122;13.12.2022;658;1908,09;
50146784222;13.12.2022;658;2952,05;
50146705124;13.12.2022;658;3301,70;
50146783223;13.12.2022;658;966,77;
50146711126;13.12.2022;658;1481,09;
50146714127;13.12.2022;658;855,60;
50146770224;13.12.2022;658;3806,19;
50146765225;13.12.2022;658;1061,68;
50146714130;13.12.2022;658;1105,02;
50146779227;13.12.2022;658;2285,45;
50146798228;13.12.2022;658;2816,53;
50146705133;13.12.2022;658;1833,82;
50146718134;13.12.2022;658;1049,12;
50146772231;13.12.2022;658;1047,50;
50146732136;13.12.2022;658;3801,20;
50146765232;13.12.2022;658;2505,23;
50146754138;13.12.2022;658;1469,49;
50146783234;13.12.2022;658;2942,06;
50146703140;13.12.2022;658;2939,00;
50146798141;13.12.2022;658;2605,94;
50146705142;13.12.2022;658;1534,75;
50146712143;13.12.2022;658;1518,48;
50146723144;13.12.2022;658;3801,20;
50146726145;13.12.2022;658;578,13;
50146717146;13.12.2022;658;1169,48;
50146716147;13.12.2022;658;1523,64;
50146795148;13.12.2022;658;3796,20;
50146790149;13.12.2022;658;2605,94;
50146716150;13.12.2022;658;1166,41;
50146717151;13.12.2022;658;2947,05;
50146726152;13.12.2022;658;1587,76;
50146723153;13.12.2022;658;2992,01;
50146712154;13.12.2022;658;1105,02;
50146705155;13.12.2022;658;2957,04;
50146798156;13.12.2022;658;3791,21;
50146754246;13.12.2022;658;772,13;
50146776158;13.12.2022;658;1411,98;
50146777159;13.12.2022;658;2952,05;
50146777160;13.12.2022;658;1469,49;
50146776161;13.12.2022;658;1614,51;
50146767162;13.12.2022;658;1102,12;
50146770163;13.12.2022;658;2942,06;
50146781164;13.12.2022;658;3816,18;
50146788165;13.12.2022;658;1833,82;
50146795166;13.12.2022;658;675,29;
50146790167;13.12.2022;658;857,05;
50146745254;13.12.2022;658;2204,25;
50146716169;13.12.2022;658;1544,26;
50146790170;13.12.2022;658;806,45;
50146795171;13.12.2022;658;2289,32;
50146788172;13.12.2022;658;3801,20;
50146781173;13.12.2022;658;1059,90;
50146770174;13.12.2022;658;675,29;
50146767175;13.12.2022;658;1138,86;
50146776176;13.12.2022;658;1350,59;
50146777177;13.12.2022;658;2987,01;
50146798178;13.12.2022;658;1898,10;
50146703179;13.12.2022;658;1616,12;
50146707263;13.12.2022;658;2946,73;
50146798181;13.12.2022;658;2992,01;
50146721265;13.12.2022;658;677,06;
50146708183;13.12.2022;658;1714,09;
50146727267;13.12.2022;658;2816,53;
50146726185;13.12.2022;658;2987,01;
50146719186;13.12.2022;658;1908,09;
50146712187;13.12.2022;658;2947,05;
50146793188;13.12.2022;658;1347,04;
50146790189;13.12.2022;658;2987,01;
50146712190;13.12.2022;658;1231,03;
50146719191;13.12.2022;658;570,39;
50146726192;13.12.2022;658;3801,20;
50146721203;13.12.2022;658;1541,68;
50146708194;13.12.2022;658;1903,10;
50146707195;13.12.2022;658;857,05;
50146798206;13.12.2022;658;3796,20;
50146701197;13.12.2022;658;1252,62;
50146772198;13.12.2022;658;1903,10;
50146779209;13.12.2022;658;2952,05;
50146798211;13.12.2022;658;1471,43;
