лс;дата;номер документа;сумма;пени
50134421053;09.09.22;;273,24;
50134463165;09.09.22;;1116;
50134442175;10.09.22;;267,17;
50134421134;10.09.22;;273,79;
50134435028;11.09.22;;862,22;
50134435176;11.09.22;;188,78;
50134456014;12.09.22;;986,97;
50134409141;12.09.22;;326,78;
50134414009;12.09.22;;323,47;
50134416087;12.09.22;;273,24;
50134409178;12.09.22;;268,27;
50134456003;12.09.22;;329,76;
50134418193;12.09.22;;409,58;
50134409156;12.09.22;;276;
50134472128;12.09.22;;347,21;
50134493116;13.09.22;;266,62;
50134428036;13.09.22;;421,18;
50134449039;14.09.22;;397,99;
50134418203;14.09.22;;273,79;
50134407125;14.09.22;;328,99;
50134428168;15.09.22;;271,58;
50134425187;15.09.22;;713,36;
50134409031;15.09.22;;425,59;
50134407154;15.09.22;;182,71;
50134454001;16.09.22;;252,82;
50134419068;16.09.22;;410,14;
50134472058;16.09.22;;189,89;
50134414157;16.09.22;;183,82;
50134428151;16.09.22;;184,37;
50134400025;16.09.22;;329,54;
50134418144;16.09.22;;266,62;
50134426135;17.09.22;;325,68;
50134436010;17.09.22;;431,66;
50134423185;17.09.22;;189,34;
50134435006;18.09.22;;700;
50134436159;18.09.22;;335,62;
50134442162;18.09.22;;273,79;
50134404205;18.09.22;;271,03;
50134423202;18.09.22;;282,07;
50134456164;19.09.22;;187,68;
50134493101;19.09.22;;326,34;
50134400155;19.09.22;;405,17;
50134472061;20.09.22;;184,37;
50134419046;20.09.22;;179,95;
50134456014;21.09.22;;657,98;
50134426122;21.09.22;;986,62;
50134433198;21.09.22;;263,86;
50134405204;21.09.22;;267,72;
50134472076;21.09.22;;183,26;
50134465075;22.09.22;;430;
50134407024;23.09.22;;1200;
50134308179;23.09.22;;184,37;
50134345077;05.09.22;;823,82;
50134379174;05.09.22;;713,18;
50134388188;05.09.22;;585,08;
50134325084;05.09.22;;1180,98;
50134301143;05.09.22;;1512,07;
50134305080;05.09.22;;3000;
50134304096;05.09.22;;1242,37;
50134323091;05.09.22;;1026,07;
50134314094;05.09.22;;381,93;
50134326201;06.09.22;;772,97;
50134312153;06.09.22;;2000;
50134314043;06.09.22;;731,89;
50134345129;06.09.22;;1473,92;
50134311095;06.09.22;;1316,64;
50134305196;06.09.22;;1003,13;
50134309042;06.09.22;;5000;
50134390173;06.09.22;;737,13;
50134363048;06.09.22;;1866,28;
50134308140;07.09.22;;1504,89;
50134314133;07.09.22;;694,43;
50134356117;07.09.22;;852,94;
50134349064;07.09.22;;1349,72;
50134323200;07.09.22;;794,59;
50134307057;07.09.22;;685,24;
50134308030;07.09.22;;2500;
50134345107;07.09.22;;1394,95;
50134398195;07.09.22;;1223,31;
50134318120;07.09.22;;893,16;
50134363066;07.09.22;;1085,9;
50134321019;07.09.22;;3519,9;
50134303194;08.09.22;;838,84;
50134301033;08.09.22;;1418,14;
50134345059;08.09.22;;1400,38;
50134345110;08.09.22;;1063,6;
50134335062;08.09.22;;1323,63;
50134309055;08.09.22;;753,31;
50134342106;08.09.22;;919,2;
50134370160;08.09.22;;536,61;
50134370007;08.09.22;;1296,36;
50134379004;08.09.22;;1549,68;
50134383017;09.09.22;;1394,63;
50134356067;09.09.22;;575,4;
50134323086;09.09.22;;1185;
50134318050;09.09.22;;980,31;
50134365011;09.09.22;;1099,22;
50134360089;09.09.22;;923,97;
50134370177;09.09.22;;802,2;
50134327044;09.09.22;;1237,58;
50134321136;09.09.22;;554,46;
50134321150;09.09.22;;1037,01;
50134327053;09.09.22;;1574,84;
50134393165;09.09.22;;3009;
50134307127;10.09.22;;579,94;
50134372175;10.09.22;;1601,3;
50134327134;10.09.22;;959,04;
50134365028;11.09.22;;2165,76;
50134365176;11.09.22;;826,03;
50134390014;12.09.22;;735,56;
50134318087;12.09.22;;1240,98;
50134308009;12.09.22;;1364,98;
50134365006;12.09.22;;1446,39;
50134307178;12.09.22;;753,36;
50134393002;12.09.22;;3173,5;
50134390003;12.09.22;;1649,53;
50134319035;12.09.22;;1841,36;
50134316193;12.09.22;;1631,94;
50134307156;12.09.22;;897,23;
50134342128;12.09.22;;1171,36;
50134363116;13.09.22;;919,69;
50134326021;13.09.22;;3000;
50134326036;13.09.22;;2093,35;
50134383039;14.09.22;;771,31;
50134316203;14.09.22;;977,05;
50134309125;14.09.22;;1496,41;
50134326168;15.09.22;;787,93;
50134307031;15.09.22;;1566,62;
50134301154;15.09.22;;450,96;
50134384001;16.09.22;;1026,09;
50134321068;16.09.22;;1862,17;
50134342058;16.09.22;;514,27;
50134308157;16.09.22;;878,84;
50134326151;16.09.22;;618,31;
50134398025;16.09.22;;1728,15;
50134312144;16.09.22;;938,93;
50134328135;17.09.22;;1346,41;
50134370010;17.09.22;;2198,66;
50134317185;17.09.22;;558,53;
50134336113;18.09.22;;2977,58;
50134370159;18.09.22;;945,95;
50134372162;18.09.22;;1002,28;
50134398205;18.09.22;;1041,12;
50134317202;18.09.22;;950,72;
50134390164;19.09.22;;1500;
50134321121;19.09.22;;444,99;
50134363101;19.09.22;;976,44;
50134398155;19.09.22;;1566,61;
50134342061;20.09.22;;1021,68;
50134321046;20.09.22;;633,79;
50134328122;21.09.22;;8161,78;
50134367198;21.09.22;;997;
50134303204;21.09.22;;1085,69;
50134342076;21.09.22;;778,87;
50134335075;22.09.22;;9600;
50134301024;23.09.22;;5000;
50134356049;23.09.22;;1100;
50134349073;30.08.22;;720;
50134300126;30.08.22;;628,35;
50134318119;30.08.22;;1654,04;
50134317192;30.08.22;;938,64;
50134326018;30.08.22;;1663,31;
50134336063;30.08.22;;1810,4;
50134300108;30.08.22;;647,42;
50134379013;30.08.22;;1430,75;
50134384171;30.08.22;;1039,87;
50134361088;30.08.22;;870,13;
50134312180;31.08.22;;1350,47;
50134321147;31.08.22;;1532,31;
50134321051;31.08.22;;1184,65;
50134370029;31.08.22;;1215,99;
50134309132;31.08.22;;794,23;
50134356139;01.09.22;;666,66;
50134349103;01.09.22;;1496,1;
50134314124;01.09.22;;1206,87;
50134325093;01.09.22;;870,84;
50134300131;01.09.22;;730,02;
50134342098;01.09.22;;1204,61;
50134305181;02.09.22;;1195,69;
50134372012;02.09.22;;669,58;
50134335112;02.09.22;;1165,71;
50134349114;02.09.22;;904,68;
50134383167;02.09.22;;583,58;
50134312197;02.09.22;;651,2;
50134335105;02.09.22;;455,03;
50134328052;02.09.22;;4312,2;
50134303183;02.09.22;;1960,37;
50134326186;03.09.22;;1177,36;
50134314054;03.09.22;;1354,78;
50134319022;03.09.22;;1462,6;
50134300056;03.09.22;;948,14;
50134381189;04.09.22;;1264,35;
50134354102;04.09.22;;1182,41;
50134354065;04.09.22;;1492,53;
